timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,URL,Latency,Connect
1679427851710,1401,/zodiac-signs/virgo,200,OK,Homepage - Thread Group 1-2,true,7,7,https://uat.astrology.com/zodiac-signs/virgo,163,0
1679427852619,546,/img/homepage/bc-wheel.png,200,OK,Homepage - Thread Group 1-1,true,7,7,https://uat.astrology.com/img/homepage/bc-wheel.png,152,0
1679427852605,837,/wp-content/uploads/sites/9/2022/05/articlecategories_finance-1-e1651537435320-150x150.png,404,Not Found,Homepage - Thread Group 1-4,false,7,7,https://uat.astrology.com/wp-content/uploads/sites/9/2022/05/articlecategories_finance-1-e1651537435320-150x150.png,154,0
1679427852367,1884,/zodiac-signs/taurus,200,OK,Homepage - Thread Group 1-7,true,8,8,https://uat.astrology.com/zodiac-signs/taurus,157,1
1679427852307,1944,/article/financial-astrology-dec-12/,200,OK,Homepage - Thread Group 1-3,true,8,8,https://uat.astrology.com/article/financial-astrology-dec-12/,153,0
1679427853165,1138,/us/feedback.aspx,200,OK,Homepage - Thread Group 1-1,true,8,8,https://uat.astrology.com/us/feedback.aspx,154,1
1679427852049,2299,/birth-chart/?utm_source=direct&utm_medium=acquisition&utm_campaign=site-map,200,OK,Homepage - Thread Group 1-5,true,8,8,https://www.astrology.com/birth-chart/?utm_source=direct&utm_medium=acquisition&utm_campaign=site-map,163,0
1679427852142,2435,/horoscope/daily.html,200,OK,Homepage - Thread Group 1-6,true,8,8,https://uat.astrology.com/horoscope/daily.html,157,1
1679427853111,1610,/us/horoscope/index-daily-dating.aspx,200,OK,Homepage - Thread Group 1-2,true,8,8,https://uat.astrology.com/us/horoscope/index-daily-dating.aspx,164,1
1679427853443,1404,/us/astrology-calendar-2022.aspx,200,OK,Homepage - Thread Group 1-4,true,8,8,https://uat.astrology.com/us/astrology-calendar-2022.aspx,259,0
1679427854348,611,/img/icons/icon-widgets-houses.svg,200,OK,Homepage - Thread Group 1-5,true,8,8,https://uat.astrology.com/img/icons/icon-widgets-houses.svg,154,1
1679427854252,849,/us/aboutus.aspx,200,OK,Homepage - Thread Group 1-3,true,8,8,https://uat.astrology.com/us/aboutus.aspx,154,0
1679427853780,1338,/zodiac-signs,200,OK,Homepage - Thread Group 1-8,true,8,8,https://uat.astrology.com/zodiac-signs,524,1
1679427854303,903,/retrograde,200,OK,Homepage - Thread Group 1-1,true,8,8,https://uat.astrology.com/retrograde,152,1
1679427854577,858,/tos.html,200,OK,Homepage - Thread Group 1-6,true,8,8,https://uat.astrology.com/tos.html,164,1
1679427854252,1411,/article/sports-predictions-december-12/,200,OK,Homepage - Thread Group 1-7,true,8,8,https://uat.astrology.com/article/sports-predictions-december-12/,156,0
1679427855119,812,/planets,200,OK,Homepage - Thread Group 1-8,true,9,9,https://uat.astrology.com/planets,154,0
1679427854721,1233,/zodiac-signs/gemini,200,OK,Homepage - Thread Group 1-2,true,9,9,https://uat.astrology.com/zodiac-signs/gemini,158,1
1679427855436,530,/img/icons/icon-tarot-daily-love.svg,200,OK,Homepage - Thread Group 1-6,true,9,9,https://uat.astrology.com/img/icons/icon-tarot-daily-love.svg,156,0
1679427854959,1033,/wp-content/uploads/sites/9/2022/05/articlecategories_sports-24-150x150.png,404,Not Found,Homepage - Thread Group 1-5,false,9,9,https://uat.astrology.com/wp-content/uploads/sites/9/2022/05/articlecategories_sports-24-150x150.png,154,1
1679427855206,790,/tarot/yes-no.html,200,OK,Homepage - Thread Group 1-1,true,9,9,https://uat.astrology.com/tarot/yes-no.html,156,1
1679427855102,1409,/zodiac-signs/sagittarius,200,OK,Homepage - Thread Group 1-3,true,9,9,https://uat.astrology.com/zodiac-signs/sagittarius,163,0
1679427855955,631,/img/icons/icon-tarot-daily-flirt.svg,200,OK,Homepage - Thread Group 1-2,true,9,9,https://uat.astrology.com/img/icons/icon-tarot-daily-flirt.svg,163,0
1679427855780,840,/compatibility/book-of-love.html,200,OK,Homepage - Thread Group 1-9,true,9,9,https://uat.astrology.com/compatibility/book-of-love.html,153,1
1679427855664,970,/numerology,200,OK,Homepage - Thread Group 1-7,true,9,9,https://uat.astrology.com/numerology,154,0
1679427855932,811,/tarot/breakup.html,200,OK,Homepage - Thread Group 1-8,true,9,9,https://uat.astrology.com/tarot/breakup.html,157,0
1679427855966,964,/compatibility/game-ask-the-genie.html,200,OK,Homepage - Thread Group 1-6,true,9,9,https://uat.astrology.com/compatibility/game-ask-the-genie.html,158,0
1679427855996,971,/syndicate,200,OK,Homepage - Thread Group 1-1,true,9,9,https://uat.astrology.com/syndicate,164,0
1679427856634,783,/articles,200,OK,Homepage - Thread Group 1-7,true,9,9,https://uat.astrology.com/articles,153,0
1679427855992,1444,/us/horoscope/yearly-overview.aspx,200,OK,Homepage - Thread Group 1-5,true,9,9,https://uat.astrology.com/us/horoscope/daily-extended.aspx,167,1
1679427856512,1041,/privacy.html,200,OK,Homepage - Thread Group 1-3,true,9,9,https://uat.astrology.com/privacy.html,156,1
1679427856586,975,/us/tarot/tarot-yin-yang.aspx,200,OK,Homepage - Thread Group 1-2,true,9,9,https://uat.astrology.com/us/tarot/tarot-yin-yang.aspx,160,1
1679427856931,649,/img/homepage/tarot-card-meaning-thumbnail.jpg,200,OK,Homepage - Thread Group 1-6,true,9,9,https://uat.astrology.com/img/homepage/tarot-card-meaning-thumbnail.jpg,161,0
1679427856968,785,/zodiac-woman,200,OK,Homepage - Thread Group 1-1,true,9,9,https://uat.astrology.com/zodiac-woman,162,0
1679427856744,1142,/learn,200,OK,Homepage - Thread Group 1-8,true,10,10,https://uat.astrology.com/learn,160,0
1679427857417,522,/img/icons/icon-widgets-chinese.svg,200,OK,Homepage - Thread Group 1-7,true,10,10,https://uat.astrology.com/img/icons/icon-widgets-chinese.svg,160,1
1679427857436,588,/img/icons/icon-tarot-daily.svg,200,OK,Homepage - Thread Group 1-5,true,10,10,https://uat.astrology.com/img/icons/icon-tarot-daily.svg,155,1
1679427856621,1405,/zodiac-signs/aries,200,OK,Homepage - Thread Group 1-9,true,10,10,https://uat.astrology.com/zodiac-signs/aries,159,0
1679427857553,886,/us/horoscope/index-daily-work.aspx,200,OK,Homepage - Thread Group 1-3,true,10,10,https://uat.astrology.com/us/horoscope/index-daily-work.aspx,157,1
1679427857782,3339,/compatibility/chinese-signs/love.html,200,OK,Homepage - Thread Group 1-10,false,11,11,https://uat.astrology.com/compatibility/chinese-signs/love.html,157,1
1679427857886,3244,/tarot/daily-career.html,200,OK,Homepage - Thread Group 1-8,false,11,11,https://uat.astrology.com/tarot/daily-career.html,157,0
1679427858026,3184,/us/advertising-inquiry.aspx,200,OK,Homepage - Thread Group 1-9,false,11,11,https://uat.astrology.com/us/advertising-inquiry.aspx,152,0
1679427857561,3660,/zodiac-signs/scorpio,200,OK,Homepage - Thread Group 1-2,false,11,11,https://uat.astrology.com/zodiac-signs/scorpio,163,1
1679427858440,2782,/aspects-and-transits,200,OK,Homepage - Thread Group 1-3,false,11,11,https://uat.astrology.com/aspects-and-transits,154,0
1679427857939,3309,/us/do-not-sell-my-info.aspx,200,OK,Homepage - Thread Group 1-7,false,11,11,https://uat.astrology.com/us/do-not-sell-my-info.aspx,158,0
1679427857753,3605,/zodiac-signs/libra,200,OK,Homepage - Thread Group 1-1,false,11,11,https://uat.astrology.com/zodiac-signs/libra,156,0
1679427858025,3422,/zodiac-signs/capricorn,200,OK,Homepage - Thread Group 1-5,false,11,11,https://uat.astrology.com/zodiac-signs/capricorn,160,0
1679427861221,597,/img/signs/chinese-sign-Sheep.svg,200,OK,Homepage - Thread Group 1-2,true,12,12,https://uat.astrology.com/img/signs/chinese-sign-Sheep.svg,156,1
1679427861358,720,/js/astFormValidation.js,200,OK,Homepage - Thread Group 1-1,true,12,12,https://uat.astrology.com/js/astFormValidation.js,159,1
1679427861121,1063,/on-the-cusp,200,OK,Homepage - Thread Group 1-10,true,12,12,https://uat.astrology.com/on-the-cusp,164,1
1679427859778,2490,/birth-chart/,200,OK,Homepage - Thread Group 1-11,true,12,12,https://www.astrology.com/birth-chart/,161,1
1679427861781,532,/img/signs/chinese-sign-Rat.svg,200,OK,Homepage - Thread Group 1-12,true,12,12,https://uat.astrology.com/img/signs/chinese-sign-Rat.svg,164,0
1679427861222,1100,/horoscope/daily-love/aries.html,200,OK,Homepage - Thread Group 1-3,true,12,12,https://uat.astrology.com/horoscope/daily-love/aries.html,164,1
1679427861130,1419,/zodiac-signs/cancer,200,OK,Homepage - Thread Group 1-8,true,12,12,https://uat.astrology.com/zodiac-signs/cancer,156,0
1679427861818,808,/us/horoscope/index-yearly-work.aspx,200,OK,Homepage - Thread Group 1-2,true,12,12,https://uat.astrology.com/us/horoscope/index-yearly-work.aspx,156,1
1679427861447,1203,/horoscope/yearly-work/pisces.html,200,OK,Homepage - Thread Group 1-5,true,12,12,https://uat.astrology.com/horoscope/yearly-work/pisces.html,159,1
1679427862184,602,/img/signs/chinese-sign-Snake.svg,200,OK,Homepage - Thread Group 1-10,true,12,12,https://uat.astrology.com/img/signs/chinese-sign-Snake.svg,158,1
