timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency
1677526314806,641,/wp-content/uploads/sites/5/2022/04/old23_chineseportraitacom-324x324.png,404,Not Found,Astrology Store Thread Group 1-8,text,false,844,396,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/04/old23_chineseportraitacom-324x324.png,155
1677526314868,669,/wp-content/uploads/sites/5/2022/05/fullmoon_leo-05-324x324.jpg,404,Not Found,Astrology Store Thread Group 1-2,text,false,834,376,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/05/fullmoon_leo-05-324x324.jpg,173
1677526313695,1865,/product/yearly-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-10,text,true,88400,426,16,16,https://shop-stage.astrology.com/product/yearly-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,157
1677526314848,714,/wp-content/uploads/sites/5/2021/12/old23_eyeofhorusacom-324x324.png,404,Not Found,Astrology Store Thread Group 1-1,text,false,839,386,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2021/12/old23_eyeofhorusacom-324x324.png,149
1677526315028,712,/wp-content/uploads/sites/5/2019/12/birthchartstore2-010-324x324.png,404,Not Found,Astrology Store Thread Group 1-11,text,false,839,386,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2019/12/birthchartstore2-010-324x324.png,152
1677526315147,596,/wp-content/uploads/sites/5/2020/04/ChakraTarotReading_01-324x324.jpg,404,Not Found,Astrology Store Thread Group 1-5,text,false,840,388,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/04/ChakraTarotReading_01-324x324.jpg,160
1677526315169,626,/wp-content/uploads/sites/5/2020/10/november-horoscope-324x324.png,404,Not Found,Astrology Store Thread Group 1-4,text,false,837,382,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/10/november-horoscope-324x324.png,155
1677526315179,694,/wp-content/uploads/sites/5/2022/05/2023premiumreports_mercuryretrogradeacom-324x324.png,404,Not Found,Astrology Store Thread Group 1-12,text,false,859,426,16,16,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/05/2023premiumreports_mercuryretrogradeacom-324x324.png,156
1677526313995,1894,/product/monthly-horoscope/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-3,text,true,89461,420,16,16,https://shop-stage.astrology.com/product/monthly-horoscope/?utm_source=store&utm_medium=site&utm_campaign=astro-store,152
1677526315430,697,/wp-content/uploads/sites/5/2020/04/Make-A-Wish-Tarot-324x324.png,404,Not Found,Astrology Store Thread Group 1-7,text,false,836,380,17,17,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/04/Make-A-Wish-Tarot-324x324.png,159
1677526314619,1550,/product/mercury-retrograde-energy-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,404,Not Found,Astrology Store Thread Group 1-13,text,false,59409,450,17,17,https://shop-stage.astrology.com/product/mercury-retrograde-energy-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,153
1677526315740,597,/wp-content/uploads/sites/5/2022/03/2023premiumreports_tarot_acom-324x324.png,404,Not Found,Astrology Store Thread Group 1-11,text,false,848,404,17,17,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/03/2023premiumreports_tarot_acom-324x324.png,159
1677526314950,1679,/product/child-birth-chart/?utm_source=store&utm_medium=site&utm_campaign=astro-store,404,Not Found,Astrology Store Thread Group 1-15,text,false,59394,420,18,18,https://shop-stage.astrology.com/product/child-birth-chart/?utm_source=store&utm_medium=site&utm_campaign=astro-store,152
1677526316128,653,/wp-content/uploads/sites/5/2020/02/Love-Tarot-Reading-324x324.png,404,Not Found,Astrology Store Thread Group 1-7,text,false,837,382,18,18,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/02/Love-Tarot-Reading-324x324.png,148
1677526316337,608,/wp-content/uploads/sites/5/2022/03/2023premiumreports_vedic_acom-324x324.png,404,Not Found,Astrology Store Thread Group 1-11,text,false,848,404,18,18,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/03/2023premiumreports_vedic_acom-324x324.png,161
1677526316630,560,/wp-content/uploads/sites/5/2020/03/Yes-No-Tarot-324x324.png,404,Not Found,Astrology Store Thread Group 1-15,text,false,831,370,19,19,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/03/Yes-No-Tarot-324x324.png,162
1677526314449,3132,/product/12-month-personal-transits?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-14,text,true,90217,655,20,20,https://shop-stage.astrology.com/product/12-month-personal-transits/?utm_source=store&utm_medium=site&utm_campaign=astro-store,149
1677526316945,644,/wp-content/uploads/sites/5/2022/10/social-scorpio_marsretrograde_acom-1-324x324.png,404,Not Found,Astrology Store Thread Group 1-11,text,false,855,418,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/10/social-scorpio_marsretrograde_acom-1-324x324.png,152
1677526315537,2106,/product/annual-vedic-horoscope/?utm_source=store&utm_medium=site&utm_campaign=astro-store,404,Not Found,Astrology Store Thread Group 1-2,text,false,59399,430,20,20,https://shop-stage.astrology.com/product/annual-vedic-horoscope/?utm_source=store&utm_medium=site&utm_campaign=astro-store,150
1677526315446,2320,/product/mars-retrograde-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-16,text,true,82891,430,20,20,https://shop-stage.astrology.com/product/mars-retrograde-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,153
1677526315562,2253,/product/summer-solstice-ritual-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-1,text,true,80825,444,20,20,https://shop-stage.astrology.com/product/summer-solstice-ritual-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,157
1677526315561,2280,/product/karma-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-10,text,true,98000,410,20,20,https://shop-stage.astrology.com/product/karma-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,157
1677526315744,2129,/product/more-money-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,404,Not Found,Astrology Store Thread Group 1-5,text,false,59401,434,20,20,https://shop-stage.astrology.com/product/more-money-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,156
1677526315447,2440,/product/12-month-personal-transits/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-8,text,true,88996,438,20,20,https://shop-stage.astrology.com/product/12-month-personal-transits/?utm_source=store&utm_medium=site&utm_campaign=astro-store,165
1677526317462,577,/wp-content/uploads/sites/5/2022/02/astrocenter_freeastroinsight_acom-324x324.png,404,Not Found,Astrology Store Thread Group 1-20,text,false,852,412,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/02/astrocenter_freeastroinsight_acom-324x324.png,190
1677526314773,3347,/product/love-tarot-reading?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-9,text,true,92483,631,20,20,https://shop-stage.astrology.com/product/love-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,160
1677526317581,625,/wp-content/uploads/sites/5/2021/07/singles_acom-30-324x324.png,404,Not Found,Astrology Store Thread Group 1-14,text,false,834,376,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2021/07/singles_acom-30-324x324.png,153
1677526315796,2533,/cart/,200,OK,Astrology Store Thread Group 1-4,text,true,120027,262,20,20,https://shop-stage.astrology.com/cart/,161
1677526315874,2458,/product/fall-equinox-ritual-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-12,text,true,82924,438,20,20,https://shop-stage.astrology.com/product/fall-equinox-ritual-report/?utm_source=store&utm_medium=site&utm_campaign=astro-store,155
1677526317643,745,/wp-content/themes/storefront/assets/css/woocommerce/woocommerce.css?ver=2.9.0,200,OK,Astrology Store Thread Group 1-2,text,true,60706,406,20,20,https://shop-stage.astrology.com/wp-content/themes/storefront/assets/css/woocommerce/woocommerce.css?ver=2.9.0,158
1677526317767,657,/wp-content/uploads/sites/5/2022/05/Screen-Shot-2023-01-23-at-4.10.56-PM-324x324.png,404,Not Found,Astrology Store Thread Group 1-16,text,false,855,418,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/05/Screen-Shot-2023-01-23-at-4.10.56-PM-324x324.png,160
1677526316169,2282,/product/full-moon-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-13,text,true,82330,420,20,20,https://shop-stage.astrology.com/product/full-moon-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,159
1677526315889,2573,/product/astrology-plus/,200,OK,Astrology Store Thread Group 1-3,text,true,102307,298,20,20,https://shop-stage.astrology.com/product/astrology-plus/,151
1677526315041,3521,/product/yearly-love-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-6,text,false,92886,600,20,20,https://shop-stage.astrology.com/product/annual-love-tarot-reading-old/,153
1677526317815,830,/wp-content/themes/storefront-child-astrology/assets/subscriptions/css/astrology-plus.css?ver=1674766179,200,OK,Astrology Store Thread Group 1-1,text,true,124122,458,20,20,https://shop-stage.astrology.com/wp-content/themes/storefront-child-astrology/assets/subscriptions/css/astrology-plus.css?ver=1674766179,155
1677526316449,2239,/product/animal-love-match-tarot/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-18,text,true,81155,432,20,20,https://shop-stage.astrology.com/product/animal-love-match-tarot/?utm_source=store&utm_medium=site&utm_campaign=astro-store,157
1677526315950,2755,/page/2/,200,OK,Astrology Store Thread Group 1-17,text,true,91987,266,20,20,https://shop-stage.astrology.com/page/2/,153
1677526318206,586,/wp-content/uploads/sites/5/2019/12/love-compatibility-1-324x324.png,404,Not Found,Astrology Store Thread Group 1-14,text,false,839,386,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2019/12/love-compatibility-1-324x324.png,152
1677526318329,594,/wp-content/uploads/sites/5/2020/03/Soulmate-324x324.png,404,Not Found,Astrology Store Thread Group 1-4,text,false,827,362,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/03/Soulmate-324x324.png,149
1677526318388,567,/wp-content/uploads/sites/5/2022/03/2023premiumreports_chinese_acom-324x324.png,404,Not Found,Astrology Store Thread Group 1-2,text,false,850,408,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/03/2023premiumreports_chinese_acom-324x324.png,162
1677526318424,552,/wp-content/uploads/sites/5/2022/07/astrocenter_Animal-Love-Match-Tarotacom-07-324x324.png,404,Not Found,Astrology Store Thread Group 1-16,text,false,861,430,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2022/07/astrocenter_Animal-Love-Match-Tarotacom-07-324x324.png,160
1677526318462,591,/wp-content/uploads/sites/5/2020/09/A-Daily-Personal-Horoscope-1-416x296.jpg,404,Not Found,Astrology Store Thread Group 1-3,text,false,847,402,20,20,https://shop-stage.astrology.com/wp-content/uploads/sites/5/2020/09/A-Daily-Personal-Horoscope-1-416x296.jpg,156
1677526317190,2115,/product/achieve-your-dreams-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,200,OK,Astrology Store Thread Group 1-15,text,true,83343,452,20,20,https://shop-stage.astrology.com/product/achieve-your-dreams-tarot-reading/?utm_source=store&utm_medium=site&utm_campaign=astro-store,150
