elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
649,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-3,text,true,220373,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=8,507,300
647,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=7,200,OK,Birthday Page - Thread Group 1-14,text,true,220298,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=7,506,261
668,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=6,200,OK,Birthday Page - Thread Group 1-9,text,true,220774,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=6,525,288
4140,/us/horoscopes/yearly/2023-horoscope-scorpio.aspx,200,OK,Birthday Page - Thread Group 1-6,text,false,205432,167,15,15,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-scorpio.aspx,4008,276
737,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-1,text,true,219955,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=9,552,259
668,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=4,200,OK,Birthday Page - Thread Group 1-10,text,true,220408,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=4,532,316
735,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=5,200,OK,Birthday Page - Thread Group 1-15,text,true,220495,176,15,15,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=5,600,290
4705,/us/horoscopes/yearly/2023-horoscope-pisces.aspx,200,OK,Birthday Page - Thread Group 1-8,text,false,204946,166,16,16,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-pisces.aspx,4575,284
1880,/tarot/tarot-card-meaning/the-high-priestess,200,OK,Birthday Page - Thread Group 1-14,text,true,214929,162,16,16,https://new.horoscope.com/tarot/tarot-card-meaning/the-high-priestess,1726,282
5504,/us/horoscopes/yearly/2023-horoscope-leo.aspx,200,OK,Birthday Page - Thread Group 1-13,text,false,205181,163,16,16,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-leo.aspx,5372,278
5412,/us/horoscopes/yearly/2023-horoscope-taurus.aspx,200,OK,Birthday Page - Thread Group 1-2,text,false,205359,166,16,16,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-taurus.aspx,5282,251
1504,/css-US/main.css?v=2023022312,200,OK,Birthday Page - Thread Group 1-16,text,true,107742,147,16,16,https://new.horoscope.com/css-US/main.css?v=2023022312,1428,285
5056,/us/horoscopes/yearly/2023-horoscope-sagittarius.aspx,200,OK,Birthday Page - Thread Group 1-5,text,false,205259,171,16,16,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-sagittarius.aspx,4923,287
697,/images-FR/quizzes/imag-quiz_what-color-is-your-aura.jpg,200,OK,Birthday Page - Thread Group 1-16,bin,true,41886,174,17,17,https://new.horoscope.com/images-FR/quizzes/imag-quiz_what-color-is-your-aura.jpg,686,227
891,/images-US/upsell/2022-premium-horoscope.jpg,200,OK,Birthday Page - Thread Group 1-14,bin,true,17968,162,17,17,https://new.horoscope.com/images-US/upsell/2022-premium-horoscope.jpg,887,281
917,/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif,404,Not Found,Birthday Page - Thread Group 1-5,text,false,1653,180,17,17,https://new.horoscope.com/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif,917,285
439,/celebrities/gemini/clint-eastwood/,404,Not Found,Birthday Page - Thread Group 1-17,text,false,1578,153,17,17,https://new.horoscope.com/celebrities/gemini/clint-eastwood/,439,289
3294,/us/horoscopes/general/index-horoscope-what-to-watch.aspx,200,OK,Birthday Page - Thread Group 1-12,text,false,210484,175,17,17,https://new.horoscope.com/us/horoscopes/general/index-horoscope-what-to-watch.aspx,3184,246
4722,/us/horoscopes/yearly/2023-horoscope-capricorn.aspx,200,OK,Birthday Page - Thread Group 1-11,text,false,205469,169,17,17,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-capricorn.aspx,4590,285
3357,/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,200,OK,Birthday Page - Thread Group 1-7,text,false,210320,177,17,17,https://new.horoscope.com/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,3221,287
3033,/us/horoscopes/career/index-horoscope-career-daily.aspx,200,OK,Birthday Page - Thread Group 1-9,text,false,210224,173,17,17,https://new.horoscope.com/us/horoscopes/career/index-horoscope-career-daily.aspx,2922,244
3309,/birthday-horoscope/pisces-gifts,200,OK,Birthday Page - Thread Group 1-4,text,false,212123,150,17,17,https://new.horoscope.com/birthday-horoscope/pisces-gifts,3199,249
3203,/birthday-horoscope/pisces-destinations,200,OK,Birthday Page - Thread Group 1-3,text,false,209784,157,17,17,https://new.horoscope.com/birthday-horoscope/pisces-destinations,3060,261
476,/images-FR/games/imag-game_magic-love-ball.jpg,200,OK,Birthday Page - Thread Group 1-5,bin,true,97330,164,17,17,https://new.horoscope.com/images-FR/games/imag-game_magic-love-ball.jpg,422,255
704,/tarot/tarot-card-meaning/the-magician,200,OK,Birthday Page - Thread Group 1-9,text,true,214795,156,17,17,https://new.horoscope.com/tarot/tarot-card-meaning/the-magician,527,295
3760,/us/horoscopes/yearly/2023-horoscope-overview.aspx,200,OK,Birthday Page - Thread Group 1-6,text,false,209522,168,17,17,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-overview.aspx,3656,226
903,/images-US/upsell/2023-love-tarot.jpg,200,OK,Birthday Page - Thread Group 1-4,bin,true,93306,155,17,17,https://new.horoscope.com/images-US/upsell/2023-love-tarot.jpg,847,253
1991,/birthday-horoscope/pisces-pampering,200,OK,Birthday Page - Thread Group 1-2,text,true,209526,154,17,17,https://new.horoscope.com/birthday-horoscope/pisces-pampering,1858,286
3771,/us/horoscopes/general/index-horoscope-general-daily.aspx,200,OK,Birthday Page - Thread Group 1-1,text,false,211490,175,17,17,https://new.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,3635,282
3747,/us/horoscopes/love/index-horoscope-love-daily.aspx,200,OK,Birthday Page - Thread Group 1-10,text,false,210176,169,17,17,https://new.horoscope.com/us/horoscopes/love/index-horoscope-love-daily.aspx,3612,290
