timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Connect
1676067241519,1098,/us/tarot/tarot-today-tomorrow.aspx,200,OK,Tarot Index Pages - Thread Group 1-10,text,true,,13,13,https://dev.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,161,1
1676067241668,1001,/us/planets/index.html,200,OK,Tarot Index Pages - Thread Group 1-7,text,true,,13,13,https://dev.horoscope.com/us/planets/index.html,159,1
1676067241827,942,/zodiac-signs/virgo,200,OK,Tarot Index Pages - Thread Group 1-3,text,true,,13,13,https://dev.horoscope.com/zodiac-signs/virgo,155,1
1676067241740,1030,/us/tarot/index-tarot-reading-love.aspx,200,OK,Tarot Index Pages - Thread Group 1-5,text,true,,13,13,https://dev.horoscope.com/us/tarot/index-tarot-reading-love.aspx,159,0
1676067241894,940,/zodiac-signs/pisces,200,OK,Tarot Index Pages - Thread Group 1-11,text,true,,14,14,https://dev.horoscope.com/zodiac-signs/pisces,156,0
1676067241868,1101,/us/tarot/index-tarot-reading-unique.aspx,200,OK,Tarot Index Pages - Thread Group 1-12,text,true,,14,14,https://dev.horoscope.com/us/tarot/index-tarot-reading-unique.aspx,155,1
1676067242069,925,/us/tarot/tarot-make-a-wish.aspx,200,OK,Tarot Index Pages - Thread Group 1-8,text,true,,14,14,https://dev.horoscope.com/us/tarot/tarot-make-a-wish.aspx,154,0
1676067241947,1071,/us/games/divination/game-love-cookie.aspx,200,OK,Tarot Index Pages - Thread Group 1-4,text,true,,14,14,https://dev.horoscope.com/us/games/divination/game-love-cookie.aspx,170,1
1676067242185,936,/us/games/index-games-instant-advice.aspx,200,OK,Tarot Index Pages - Thread Group 1-6,text,true,,14,14,https://dev.horoscope.com/us/games/index-games-instant-advice.aspx,158,0
1676067242100,1068,/us/advertise.aspx,200,OK,Tarot Index Pages - Thread Group 1-9,text,true,,14,14,https://dev.horoscope.com/us/advertise.aspx,174,1
1676067242179,1012,/us/games/divination/game-crystal-ball.aspx,200,OK,Tarot Index Pages - Thread Group 1-2,text,true,,14,14,https://dev.horoscope.com/us/games/divination/game-crystal-ball.aspx,154,0
