timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,grpThreads,allThreads,Latency,Connect
1675700996510,614,/astrology/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,157,1
1675700996510,157,/astrology/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,157,1
1675700996668,456,/astrology/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,456,210
1675701010865,585,/mercury-retrograde/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,156,0
1675701010865,156,/mercury-retrograde/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,156,0
1675701011021,429,/mercury-retrograde/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,429,209
1675701017999,605,/celebrities/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,158,1
1675701017999,158,/celebrities/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,158,1
1675701018157,447,/celebrities/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,447,210
1675701027973,605,/horoscope-dates/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,160,1
1675701027973,160,/horoscope-dates/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,160,1
1675701028133,445,/horoscope-dates/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,445,212
1675701041437,595,/saturn-return/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,157,1
1675701041437,157,/saturn-return/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,157,1
1675701041594,438,/saturn-return/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,438,209
1675701052649,610,/wp-content/uploads/sites/2/2020/04/Libra.jpg,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,159,1
1675701052649,159,/wp-content/uploads/sites/2/2020/04/Libra.jpg-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,159,1
1675701052808,451,/wp-content/uploads/sites/2/2020/04/Libra.jpg-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,451,213
1675701055201,606,/celebrities/gemini/clint-eastwood/,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,160,1
1675701055201,160,/celebrities/gemini/clint-eastwood/-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,160,1
1675701055361,446,/celebrities/gemini/clint-eastwood/-1,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,,1,1,446,213
1675701055807,616,/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif,404,Not Found,Zodiac Sign Index Inner pages Thread Group 1-1,false,Test failed: code expected not to contain /404/,1,1,159,1
1675701055807,159,/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif-0,301,Moved Permanently,Zodiac Sign Index Inner pages Thread Group 1-1,true,,1,1,159,1
