timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675813117476,333,new-2,200,OK,Thread Group 1-11,text,true,,69355,131,2,2,https://new.astrology.com/us/home.aspx,281,0,0
1675813117342,996,new,200,OK,Thread Group 1-12,text,true,,70216,369,2,2,https://new.astrology.com/us/home.aspx,159,0,2
1675813117342,159,new-0,301,Moved Permanently,Thread Group 1-12,,true,,285,119,2,2,http://new.astrology.com/,159,0,2
1675813117501,465,new-1,301,Moved Permanently,Thread Group 1-12,text,true,,570,119,2,2,https://new.astrology.com/,465,0,209
1675813117966,372,new-2,200,OK,Thread Group 1-12,text,true,,69361,131,2,2,https://new.astrology.com/us/home.aspx,320,0,0
1675813117839,1233,new,200,OK,Thread Group 1-13,text,true,,70214,369,3,3,https://new.astrology.com/us/home.aspx,156,0,1
1675813117839,156,new-0,301,Moved Permanently,Thread Group 1-13,,true,,285,119,3,3,http://new.astrology.com/,156,0,1
1675813117995,616,new-1,301,Moved Permanently,Thread Group 1-13,text,true,,570,119,3,3,https://new.astrology.com/,616,0,213
1675813118611,461,new-2,200,OK,Thread Group 1-13,text,true,,69359,131,3,3,https://new.astrology.com/us/home.aspx,362,0,0
1675813118339,952,new,200,OK,Thread Group 1-14,text,true,,70216,369,2,2,https://new.astrology.com/us/home.aspx,155,0,1
1675813118339,155,new-0,301,Moved Permanently,Thread Group 1-14,,true,,285,119,2,2,http://new.astrology.com/,155,0,1
1675813118494,460,new-1,301,Moved Permanently,Thread Group 1-14,text,true,,570,119,2,2,https://new.astrology.com/,460,0,208
1675813118954,337,new-2,200,OK,Thread Group 1-14,text,true,,69361,131,2,2,https://new.astrology.com/us/home.aspx,285,0,0
1675813118842,955,new,200,OK,Thread Group 1-15,text,true,,70213,369,2,2,https://new.astrology.com/us/home.aspx,159,0,1
1675813118842,159,new-0,301,Moved Permanently,Thread Group 1-15,,true,,285,119,2,2,http://new.astrology.com/,159,0,1
1675813119001,472,new-1,301,Moved Permanently,Thread Group 1-15,text,true,,570,119,2,2,https://new.astrology.com/,472,0,212
1675813119473,324,new-2,200,OK,Thread Group 1-15,text,true,,69358,131,2,2,https://new.astrology.com/us/home.aspx,273,0,0
1675813119341,974,new,200,OK,Thread Group 1-16,text,true,,70209,369,2,2,https://new.astrology.com/us/home.aspx,156,0,1
1675813119341,156,new-0,301,Moved Permanently,Thread Group 1-16,,true,,285,119,2,2,http://new.astrology.com/,156,0,1
1675813119497,476,new-1,301,Moved Permanently,Thread Group 1-16,text,true,,570,119,2,2,https://new.astrology.com/,476,0,209
1675813119974,342,new-2,200,OK,Thread Group 1-16,text,true,,69354,131,2,2,https://new.astrology.com/us/home.aspx,290,0,0
1675813119841,1009,new,200,OK,Thread Group 1-17,text,true,,70217,369,3,3,https://new.astrology.com/us/home.aspx,183,0,1
1675813119841,183,new-0,301,Moved Permanently,Thread Group 1-17,,true,,285,119,3,3,http://new.astrology.com/,183,0,1
1675813120024,479,new-1,301,Moved Permanently,Thread Group 1-17,text,true,,570,119,3,3,https://new.astrology.com/,479,0,214
1675813120503,347,new-2,200,OK,Thread Group 1-17,text,true,,69362,131,3,3,https://new.astrology.com/us/home.aspx,295,0,0
1675813120342,1142,new,200,OK,Thread Group 1-18,text,true,,70212,369,3,3,https://new.astrology.com/us/home.aspx,159,0,1
1675813120342,159,new-0,301,Moved Permanently,Thread Group 1-18,,true,,285,119,3,3,http://new.astrology.com/,159,0,1
1675813120502,461,new-1,301,Moved Permanently,Thread Group 1-18,text,true,,570,119,3,3,https://new.astrology.com/,461,0,213
1675813120963,521,new-2,200,OK,Thread Group 1-18,text,true,,69357,131,3,3,https://new.astrology.com/us/home.aspx,420,0,0
1675813120843,987,new,200,OK,Thread Group 1-19,text,true,,70213,369,2,2,https://new.astrology.com/us/home.aspx,156,0,0
1675813120843,156,new-0,301,Moved Permanently,Thread Group 1-19,,true,,285,119,2,2,http://new.astrology.com/,156,0,0
1675813121000,452,new-1,301,Moved Permanently,Thread Group 1-19,text,true,,570,119,2,2,https://new.astrology.com/,452,0,207
1675813121452,378,new-2,200,OK,Thread Group 1-19,text,true,,69358,131,2,2,https://new.astrology.com/us/home.aspx,327,0,0
1675813121340,963,new,200,OK,Thread Group 1-20,text,true,,70211,369,2,2,https://new.astrology.com/us/home.aspx,158,0,1
1675813121340,158,new-0,301,Moved Permanently,Thread Group 1-20,,true,,285,119,2,2,http://new.astrology.com/,158,0,1
1675813121498,468,new-1,301,Moved Permanently,Thread Group 1-20,text,true,,570,119,2,2,https://new.astrology.com/,468,0,213
1675813121966,337,new-2,200,OK,Thread Group 1-20,text,true,,69356,131,2,2,https://new.astrology.com/us/home.aspx,284,0,0
1675813121840,959,new,200,OK,Thread Group 1-21,text,true,,70214,369,2,2,https://new.astrology.com/us/home.aspx,161,0,4
1675813121840,161,new-0,301,Moved Permanently,Thread Group 1-21,,true,,285,119,2,2,http://new.astrology.com/,161,0,4
1675813122001,467,new-1,301,Moved Permanently,Thread Group 1-21,text,true,,570,119,2,2,https://new.astrology.com/,467,0,208
1675813122468,331,new-2,200,OK,Thread Group 1-21,text,true,,69359,131,2,2,https://new.astrology.com/us/home.aspx,280,0,0
1675813122342,1027,new,200,OK,Thread Group 1-22,text,true,,70212,369,3,3,https://new.astrology.com/us/home.aspx,159,0,1
1675813122342,159,new-0,301,Moved Permanently,Thread Group 1-22,,true,,285,119,3,3,http://new.astrology.com/,159,0,1
1675813122501,520,new-1,301,Moved Permanently,Thread Group 1-22,text,true,,570,119,3,3,https://new.astrology.com/,520,0,258
1675813123021,348,new-2,200,OK,Thread Group 1-22,text,true,,69357,131,3,3,https://new.astrology.com/us/home.aspx,296,0,0
1675813122842,946,new,200,OK,Thread Group 1-23,text,true,,70215,369,2,2,https://new.astrology.com/us/home.aspx,156,0,1
1675813122842,156,new-0,301,Moved Permanently,Thread Group 1-23,,true,,285,119,2,2,http://new.astrology.com/,156,0,1
1675813122999,453,new-1,301,Moved Permanently,Thread Group 1-23,text,true,,570,119,2,2,https://new.astrology.com/,453,0,209
1675813123452,336,new-2,200,OK,Thread Group 1-23,text,true,,69360,131,2,2,https://new.astrology.com/us/home.aspx,284,0,0
1675813123343,1012,new,200,OK,Thread Group 1-24,text,true,,70213,369,3,3,https://new.astrology.com/us/home.aspx,159,0,1
1675813123343,159,new-0,301,Moved Permanently,Thread Group 1-24,,true,,285,119,3,3,http://new.astrology.com/,159,0,1
1675813123502,500,new-1,301,Moved Permanently,Thread Group 1-24,text,true,,570,119,3,3,https://new.astrology.com/,500,0,244
1675813124002,353,new-2,200,OK,Thread Group 1-24,text,true,,69358,131,3,3,https://new.astrology.com/us/home.aspx,300,0,0
1675813123838,1077,new,200,OK,Thread Group 1-25,text,true,,70215,369,3,3,https://new.astrology.com/us/home.aspx,158,0,1
1675813123838,158,new-0,301,Moved Permanently,Thread Group 1-25,,true,,285,119,3,3,http://new.astrology.com/,158,0,1
